tanggal,lat,lon,NO2,status_outlier,jenis_outlier,perubahan_NO2,persentase_perubahan,abs_perubahan
2025-08-24,-7.2,113.3,2.2351111665557257e-05,Normal,Normal,,,
2025-08-25,-7.2,113.3,1.3223408954103678e-05,Normal,Normal,-9.127702711453579e-06,-40.837801931432516,9.127702711453579e-06
2025-08-26,-7.2,113.3,1.4008996088619284e-05,Normal,Normal,7.855871345156058e-07,5.9408820920705985,7.855871345156058e-07
2025-08-27,-7.2,113.3,2.34999048571312e-05,Normal,Normal,9.490908768511915e-06,67.74867169976726,9.490908768511915e-06
2025-08-28,-7.2,113.3,2.129528951910764e-05,Normal,Normal,-2.204615338023558e-06,-9.381379845691384,2.204615338023558e-06
2025-08-29,-7.2,113.3,1.2478423278418558e-05,Normal,Normal,-8.816866240689083e-06,-41.40289444188099,8.816866240689083e-06
2025-08-30,-7.2,113.3,1.7188873253341324e-05,Normal,Normal,4.710449974922766e-06,37.74875935703746,4.710449974922766e-06
2025-08-31,-7.2,113.3,1.1952200534940557e-05,Normal,Normal,-5.236672718400767e-06,-30.4654798555968,5.236672718400767e-06
2025-09-01,-7.2,113.3,9.75303239349821e-06,Normal,Normal,-2.1991681414423473e-06,-18.39969246678377,2.1991681414423473e-06
2025-09-02,-7.2,113.3,7.075254807010215e-06,Normal,Normal,-2.677777586487994e-06,-27.455846330143597,2.677777586487994e-06
2025-09-03,-7.2,113.3,1.222425348262166e-05,Normal,Normal,5.148998675611446e-06,72.77474544817495,5.148998675611446e-06
2025-09-04,-7.2,113.3,1.47480564183637e-05,Normal,Normal,2.5238029357420386e-06,20.645865527330145,2.5238029357420386e-06
2025-09-05,-7.2,113.3,1.544484883353118e-05,Normal,Normal,6.967924151674812e-07,4.72463893140429,6.967924151674812e-07
2025-09-06,-7.2,113.3,1.5417955176953677e-05,Normal,Normal,-2.6893656577503224e-08,-0.17412703010155628,2.6893656577503224e-08
2025-09-07,-7.2,113.3,2.17261725820354e-05,Normal,Normal,6.308217405081721e-06,40.9147473363463,6.308217405081721e-06
2025-09-08,-7.2,113.3,1.7133203008207992e-05,Normal,Normal,-4.592969573827407e-06,-21.14026092946151,4.592969573827407e-06
2025-09-09,-7.2,113.3,2.9370793586689406e-05,Normal,Normal,1.2237590578481414e-05,71.42616924937364,1.2237590578481414e-05
2025-09-10,-7.2,113.3,1.6181232123689488e-05,Normal,Normal,-1.3189561462999918e-05,-44.907065326887576,1.3189561462999918e-05
2025-09-11,-7.2,113.3,7.939930018506937e-06,Normal,Normal,-8.241302105182551e-06,-50.931239612570664,8.241302105182551e-06
2025-09-12,-7.2,113.3,1.817914010514089e-05,Normal,Normal,1.0239210086633955e-05,128.9584424896403,1.0239210086633955e-05
2025-09-13,-7.2,113.3,1.659267566131781e-05,Normal,Normal,-1.586464443823083e-06,-8.726839854072333,1.586464443823083e-06
2025-09-14,-7.2,113.3,1.9895078323012665e-05,Normal,Normal,3.302402661694857e-06,19.9027735435924,3.302402661694857e-06
2025-09-15,-7.2,113.3,3.138725686310264e-05,Normal,Normal,1.1492178540089977e-05,57.76392710551412,1.1492178540089977e-05
2025-09-16,-7.2,113.3,3.177126704547216e-05,Normal,Normal,3.8401018236951636e-07,1.2234588834710847,3.8401018236951636e-07
2025-09-17,-7.2,113.3,4.7171826736303046e-05,Outlier,Outlier Tinggi,1.5400559690830887e-05,48.47323107633403,1.5400559690830887e-05
2025-09-18,-7.2,113.3,9.988890129382829e-06,Normal,Normal,-3.718293660692022e-05,-78.82445768907343,3.718293660692022e-05
2025-09-19,-7.2,113.3,7.63930960301891e-06,Normal,Normal,-2.3495805263639194e-06,-23.521937832237327,2.3495805263639194e-06
2025-09-20,-7.2,113.3,1.1191891729848344e-05,Normal,Normal,3.5525821268294344e-06,46.5039684400999,3.5525821268294344e-06
2025-09-21,-7.2,113.3,2.0450547625467548e-05,Normal,Normal,9.258655895619205e-06,82.7264605404172,9.258655895619205e-06
2025-09-22,-7.2,113.3,1.0049411502343854e-05,Normal,Normal,-1.0401136123123694e-05,-50.85993936989206,1.0401136123123694e-05
2025-09-23,-7.2,113.3,2.4252442913815945e-05,Normal,Normal,1.4203031411472091e-05,141.33197161007365,1.4203031411472091e-05
2025-09-24,-7.2,113.3,1.8963466819800515e-05,Normal,Normal,-5.28897609401543e-06,-21.80801378570588,5.28897609401543e-06
2025-09-25,-7.2,113.3,1.574760112698759e-05,Normal,Normal,-3.215865692812925e-06,-16.958216149882,3.215865692812925e-06
2025-09-26,-7.2,113.3,1.0912123904037715e-05,Normal,Normal,-4.835477222949875e-06,-30.70611951596255,4.835477222949875e-06
2025-09-27,-7.2,113.3,1.9399149274226672e-05,Normal,Normal,8.487025370188957e-06,77.77610889341697,8.487025370188957e-06
2025-09-28,-7.2,113.3,9.571359562888927e-06,Normal,Normal,-9.827789711337745e-06,-50.66093142751755,9.827789711337745e-06
2025-09-29,-7.2,113.3,1.2351710016684404e-05,Normal,Normal,2.780350453795477e-06,29.048647013280558,2.780350453795477e-06
2025-10-01,-7.2,113.3,7.65776394052443e-06,Normal,Normal,-4.693946076159975e-06,-38.00239861379113,4.693946076159975e-06
2025-10-02,-7.2,113.3,1.9087336185156653e-05,Normal,Normal,1.1429572244632224e-05,149.25469540981294,1.1429572244632224e-05
2025-10-03,-7.2,113.3,1.968378876726044e-05,Normal,Normal,5.964525821037881e-07,3.124860254557804,5.964525821037881e-07
2025-10-04,-7.2,113.3,1.6937479730351998e-05,Normal,Normal,-2.7463090369084433e-06,-13.952136295408291,2.7463090369084433e-06
2025-10-05,-7.2,113.3,1.1143000834089972e-05,Normal,Normal,-5.794478896262026e-06,-34.21098645436788,5.794478896262026e-06
2025-10-06,-7.2,113.3,1.5031143669758318e-05,Normal,Normal,3.888142835668346e-06,34.893139591027264,3.888142835668346e-06
2025-10-07,-7.2,113.3,2.4641570859318096e-05,Normal,Normal,9.610427189559778e-06,63.93676622821012,9.610427189559778e-06
2025-10-08,-7.2,113.3,1.3443467089035693e-05,Normal,Normal,-1.1198103770282403e-05,-45.44395255567846,1.1198103770282403e-05
2025-10-09,-7.2,113.3,2.3295816102359112e-05,Normal,Normal,9.85234901332342e-06,73.28726249018649,9.85234901332342e-06
2025-10-10,-7.2,113.3,2.5012561019787396e-05,Normal,Normal,1.7167449174282838e-06,7.369327221184729,1.7167449174282838e-06
2025-10-11,-7.2,113.3,1.675751690103864e-05,Normal,Normal,-8.255044118748756e-06,-33.00359412304164,8.255044118748756e-06
2025-10-12,-7.2,113.3,1.159880659616003e-05,Normal,Normal,-5.158710304878611e-06,-30.784455330365034,5.158710304878611e-06
2025-10-13,-7.2,113.3,1.2483180245126596e-05,Normal,Normal,8.843736489665667e-07,7.62469519286022,8.843736489665667e-07
2025-10-14,-7.2,113.3,1.4813572530787038e-05,Normal,Normal,2.330392285660442e-06,18.66825792706328,2.330392285660442e-06
2025-10-15,-7.2,113.3,1.0970527304597573e-05,Normal,Normal,-3.843045226189466e-06,-25.94273068297649,3.843045226189466e-06
2025-10-16,-7.2,113.3,2.0005937646642864e-05,Normal,Normal,9.035410342045291e-06,82.3607661799328,9.035410342045291e-06
2025-10-17,-7.2,113.3,1.3087257033558588e-05,Normal,Normal,-6.918680613084276e-06,-34.58313594336969,6.918680613084276e-06
2025-10-18,-7.2,113.3,1.5681333459883358e-05,Normal,Normal,2.5940764263247695e-06,19.821391294394154,2.5940764263247695e-06
2025-10-19,-7.2,113.3,2.153190692192416e-05,Normal,Normal,5.850573462040803e-06,37.309157904255954,5.850573462040803e-06
2025-10-20,-7.2,113.3,-6.291100362432189e-06,Outlier,Outlier Rendah,-2.782300728435635e-05,-129.2175717888994,2.782300728435635e-05
2025-10-21,-7.2,113.3,2.2795458821276733e-05,Normal,Normal,2.9086559183708922e-05,-462.34454241743845,2.9086559183708922e-05
2025-10-23,-7.2,113.3,2.638614395705073e-05,Normal,Normal,3.590685135773996e-06,15.751756364835856,3.590685135773996e-06
2025-10-25,-7.2,113.3,2.922947362718848e-05,Normal,Normal,2.8433296701377528e-06,10.775843847308275,2.8433296701377528e-06
2025-10-26,-7.2,113.3,3.649290766689874e-05,Normal,Normal,7.263434039710262e-06,24.84969155569743,7.263434039710262e-06
2025-10-29,-7.2,113.3,2.52651354912814e-05,Normal,Normal,-1.1227772175617345e-05,-30.76699800986702,1.1227772175617345e-05
2025-10-30,-7.2,113.3,2.5026296309086497e-05,Normal,Normal,-2.3883918219490163e-07,-0.9453310957992733,2.3883918219490163e-07
2025-10-31,-7.2,113.3,8.795806807277576e-06,Normal,Normal,-1.623048950180892e-05,-64.85374144601647,1.623048950180892e-05
2025-11-02,-7.2,113.3,1.2927226016756777e-05,Normal,Normal,4.131419209479201e-06,46.970326884179634,4.131419209479201e-06
2025-11-04,-7.2,113.3,2.7847402230286712e-05,Normal,Normal,1.4920176213529936e-05,115.41668873267801,1.4920176213529936e-05
2025-11-05,-7.2,113.3,3.654758880397172e-05,Normal,Normal,8.700186573685007e-06,31.242363297437926,8.700186573685007e-06
2025-11-06,-7.2,113.3,2.4416582059908855e-05,Normal,Normal,-1.2131006744062865e-05,-33.19235862351761,1.2131006744062865e-05
2025-11-07,-7.2,113.3,1.941757402909524e-05,Normal,Normal,-4.9990080308136146e-06,-20.47382397154516,4.9990080308136146e-06
2025-11-08,-7.2,113.3,-2.3420263914886164e-06,Outlier,Outlier Rendah,-2.1759600420583857e-05,-112.0613748554754,2.1759600420583857e-05
2025-11-11,-7.2,113.3,2.547917142692313e-05,Normal,Normal,2.7821197818411747e-05,-1187.9113710895592,2.7821197818411747e-05
2025-11-16,-7.2,113.3,1.7661102181894723e-05,Normal,Normal,-7.818069245028408e-06,-30.68415810714814,7.818069245028408e-06
2025-11-17,-7.2,113.3,3.649640124818219e-05,Normal,Normal,1.883529906628747e-05,106.64849153976625,1.883529906628747e-05
2025-11-18,-7.2,113.3,2.9185124271059656e-05,Normal,Normal,-7.311276977122537e-06,-20.032870987483175,7.311276977122537e-06
2025-11-19,-7.2,113.3,2.7614283195279395e-05,Normal,Normal,-1.5708410757802608e-06,-5.382334716792436,1.5708410757802608e-06
2025-11-21,-7.2,113.3,1.7771614709870066e-05,Normal,Normal,-9.84266848540933e-06,-35.64339662849518,9.84266848540933e-06
2025-11-22,-7.2,113.3,2.805774420266971e-05,Normal,Normal,1.0286129492799644e-05,57.8795436471335,1.0286129492799644e-05
2025-11-23,-7.2,113.3,1.8018568945470695e-05,Normal,Normal,-1.0039175257199015e-05,-35.78040766457548,1.0039175257199015e-05
2025-11-25,-7.2,113.3,3.676528802381917e-05,Normal,Normal,1.8746719078348474e-05,104.04110967458831,1.8746719078348474e-05
2025-11-26,-7.2,113.3,3.37166424847405e-05,Normal,Normal,-3.048645539078669e-06,-8.292184565788085,3.048645539078669e-06
2025-11-27,-7.2,113.3,3.18196911357878e-05,Normal,Normal,-1.8969513489526968e-06,-5.6261573192266106,1.8969513489526968e-06
2025-11-28,-7.2,113.3,3.153019643646489e-05,Normal,Normal,-2.894946993229117e-07,-0.9097973267167103,2.894946993229117e-07
2025-11-29,-7.2,113.3,1.986224488064181e-05,Normal,Normal,-1.1667951555823081e-05,-37.005641811761805,1.1667951555823081e-05
2025-12-01,-7.2,113.3,2.5316769714212377e-05,Normal,Normal,5.454524833570567e-06,27.461774166759323,5.454524833570567e-06
2025-12-03,-7.2,113.3,2.3784545742001552e-05,Normal,Normal,-1.5322239722108253e-06,-6.052209620371363,1.5322239722108253e-06
2025-12-04,-7.2,113.3,1.1065947546740064e-05,Normal,Normal,-1.2718598195261488e-05,-53.47421108321395,1.2718598195261488e-05
2025-12-05,-7.2,113.3,1.6892071541153888e-05,Normal,Normal,5.8261239944138235e-06,52.649119922226184,5.8261239944138235e-06
2025-12-07,-7.2,113.3,1.2189659940720908e-05,Normal,Normal,-4.70241160043298e-06,-27.83798061106104,4.70241160043298e-06
2025-12-08,-7.2,113.3,2.83373839761586e-05,Normal,Normal,1.6147724035437694e-05,132.47066869761014,1.6147724035437694e-05
2025-12-09,-7.2,113.3,3.900568945880423e-05,Normal,Normal,1.0668305482645626e-05,37.64746065346507,1.0668305482645626e-05
2025-12-10,-7.2,113.3,3.185645776383575e-05,Normal,Normal,-7.149231694968477e-06,-18.328689465979377,7.149231694968477e-06
2025-12-11,-7.2,113.3,2.676310425529125e-05,Normal,Normal,-5.0933535085445e-06,-15.988449018103335,5.0933535085445e-06
2025-12-12,-7.2,113.3,2.757485776005796e-05,Normal,Normal,8.117535047667091e-07,3.0331066868157563,8.117535047667091e-07
2025-12-13,-7.2,113.3,3.802408933182251e-05,Normal,Normal,1.0449231571764552e-05,37.894054296447585,1.0449231571764552e-05
2025-12-15,-7.2,113.3,4.3265473249374666e-05,Outlier,Outlier Tinggi,5.241383917552154e-06,13.784377245204983,5.241383917552154e-06
2025-12-17,-7.2,113.3,2.626012656181254e-05,Normal,Normal,-1.7005346687562126e-05,-39.304658912538095,1.7005346687562126e-05
2025-12-18,-7.2,113.3,5.129460276459047e-05,Outlier,Outlier Tinggi,2.5034476202777932e-05,95.33265631393814,2.5034476202777932e-05
2025-12-20,-7.2,113.3,3.0412849810090847e-05,Normal,Normal,-2.0881752954499625e-05,-40.709454463140226,2.0881752954499625e-05
2025-12-21,-7.2,113.3,2.309675534585646e-05,Normal,Normal,-7.316094464234387e-06,-24.055931982431122,7.316094464234387e-06
2025-12-22,-7.2,113.3,3.7365531759004464e-05,Normal,Normal,1.4268776413148003e-05,61.77827231350837,1.4268776413148003e-05
